row.names.t.stat.desc.L...,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
Year_Predictors,115360,0,0,2002,2019,17,231782960,2008.5,2009.21428571429,0.014937461821089,0.029277194370633,25.740019046133,5.07346223462174,0.00252509763179297
R0000100,115360,0,0,1,9022,9021,525796572,4577.5,4557.87597087379,7.65365267114089,15.0010409788595,6757604.1329189,2599.53921549934,0.5703400513992
Year,115360,0,0,1,14,13,865200,7.5,7.5,0.0118686395713959,0.0232623501776027,16.2501408646053,4.03114634621534,0.537486179495379
No_HealthI_03_21,115360,82607,0,0,1,1,32753,0,0.283919902912621,0.00132755639492192,0.00260199002197497,0.203311154048691,0.450900381513135,1.58812530184579
General_H_02_19,115360,0,0,1,5,4,256844,2,2.22645631067961,0.00283197882836997,0.00555063474670427,0.925199207168975,0.961872760384124,0.432019598035822
Weeks_Worked_02_19,115360,17350,0,0,53,53,4306730,51,37.3329576976422,0.0588061171484415,0.115259080997712,398.933270007833,19.9733139465596,0.535004863753966
NOArrests_02_19,115360,111413,0,0,60,60,6034,0,0.0523058252427185,0.00138394174107289,0.00271250442922098,0.220948401516011,0.470051488154235,8.98659921668421
MonthsIcar_02_19,115360,112662,0,0,12,12,20184,0,0.1749653259362,0.00387023976126313,0.00758561013300664,1.72794927020262,1.31451484213858,7.51300199113688
NA_B18,115360,94360,0,0,17,17,44688,0,0.387378640776699,0.00354170431826037,0.0069416857409219,1.44703771098025,1.20292880544954,3.10530493637349
NA_A18,115360,82600,0,0,68,68,105280,0,0.912621359223301,0.00838707180220652,0.0164385311436902,8.11476541319682,2.84864273175785,3.12138512096871
B18_NOARREST,115360,21042,0,0,1,1,94318,1,0.817597087378641,0.00113699828845746,0.00222849907761768,0.149133382853712,0.386177916061641,0.472332793283052
B18_ARREST,115360,95760,0,0,1,1,19600,0,0.169902912621359,0.00110570459821753,0.00216716392826617,0.141037135486796,0.375549111950483,2.21037477319427
B18_INCAF,115360,113918,0,0,1,1,1442,0,0.0125,0.00032711301000602,0.000641136445389143,0.0123438570029213,0.11110291176617,8.88823294129358
Classification,115360,0,0,1,4,3,141708,1,1.22839805825243,0.0015910082800605,0.00311835164625188,0.292011615575421,0.540380991130722,0.439907070432439
Hispanic,115360,90720,0,0,1,1,24640,0,0.213592233009709,0.00120667658021698,0.00236506745286714,0.167972047076004,0.409843930144152,1.91881476385671
White,115360,48384,0,0,1,1,66976,1,0.580582524271845,0.00145287917686394,0.00284762073821921,0.24350856763988,0.493465872821901,0.849949580278524
Black,115360,83566,0,0,1,1,31794,0,0.275606796116505,0.00131554710591862,0.00257845200108401,0.199649420715088,0.446821464026839,1.621228033281
Other_R,115360,98742,0,0,1,1,16618,0,0.144053398058252,0.00103385432371476,0.00202633850039924,0.123303085420886,0.351145390715706,2.43760574515368
Male,115360,56784,0,0,1,1,58576,1,0.507766990291262,0.00147194593339843,0.00288499128642639,0.249941840486646,0.499941837103724,0.984589086456664
Sample,115360,0,0,1,2,1,144872,1,1.25582524271845,0.0012846458649965,0.00251788604633169,0.190380338221493,0.43632595410025,0.347441617876503
MSA_97,115360,20524,0,0,1,1,94836,1,0.822087378640777,0.00112599543102854,0.00220693364706213,0.146260988386024,0.382440829914934,0.465207032550791
Urban_97,115360,27720,0,0,1,1,87640,1,0.759708737864078,0.00125795993297213,0.00246558203188823,0.182552953940241,0.427262160669817,0.56240258848551
Northeast,115360,95368,0,0,1,1,19992,0,0.173300970873786,0.00111441890367581,0.00218424383231968,0.143268986297482,0.378508898571067,2.18411297214677
Northcentral,115360,89180,0,0,1,1,26180,0,0.226941747572816,0.00123321150121418,0.00241707548803063,0.175440711592019,0.418856433151048,1.8456561546335
South,115360,71512,0,0,1,1,43848,0,0.380097087378641,0.00142916827791523,0.0028011477426368,0.235625334066881,0.485412540079962,1.27707513737512
West,115360,90020,0,0,1,1,25340,0,0.219660194174757,0.0012189666417201,0.00238915578351953,0.171411079149539,0.414018211132722,1.88481218769814
PIB16,115360,107646,0,0,1,1,7714,0,0.066868932038835,0.000735457831411392,0.00144148598600841,0.0623980188650424,0.249795954460921,3.73560556217421
BMEA97,115360,0,0,1,20,19,1430730,12,12.4023058252427,0.00861625870933249,0.0168877339404905,8.56431649589963,2.92648534865624,0.235963004774474
BFEA97,115360,0,0,1,20,19,1424682,12,12.3498786407767,0.00931596584952768,0.0182591491240991,10.0117736656955,3.16413869255056,0.256208079818958
PHEALTH97,115360,0,0,1,5,4,268842,2,2.33046116504854,0.0032339184123527,0.00633843012094247,1.20646121642888,1.09839028420179,0.47131885339909
BBPHH,115360,59626,0,0,1,1,55734,0,0.483131067961165,0.00147128550311122,0.00288369685326775,0.249717603812901,0.499717524020222,1.03433117255127
CC1Y,115360,82964,0,0,1,1,32396,0,0.280825242718447,0.00132315142192234,0.00259335634295703,0.201964176500257,0.449404246197405,1.60029861221548
HT97,115360,109396,0,0,1,1,5964,0,0.0516990291262136,0.000651911361470764,0.00127773619580117,0.0490266645020437,0.221419656991071,4.28285909297284
HHNW97,115360,42,0,-935251,600000,1535251,10412453436,35000,90260.5186893204,407.6556251363,798.998726580659,19170883420.2397,138458.959335392,1.5339925068675
GH97,115360,0,0,1,5,4,224406,2,1.94526699029126,0.00268098637243573,0.00525469186605737,0.829171679510909,0.910588644510192,0.46810471213201
WW_97,115360,80346,0,0,52,52,951776,0,8.2504854368932,0.0459220613226475,0.0900065306506843,243.275288211718,15.5972846422612,1.89046871987868
NHIN_97,115360,99316,0,0,1,1,16044,0,0.139077669902913,0.00101879064366592,0.00199681392025241,0.119736109571665,0.346029058854404,2.48802743888333
Wave_Outcome,115360,0,0,1,19,18,988800,7.5,8.57142857142857,0.0161537080241134,0.0316610181363424,30.1023017586095,5.48655645725162,0.640098253346022
Ex_Medicare,115360,0,0,265.4,804.5,539.1,56124288,482.8,486.514285714286,0.460702908047985,0.902970581454068,24484.8334716593,156.476303227228,0.321627355705483
Ex_Medicaid,115360,0,0,248.1,615.1,367,44945904,359.55,389.614285714286,0.331484679899873,0.649704850834429,12675.9982494399,112.587735786097,0.288972298794661
Ex_Medicaid_Feds,115360,0,0,145.3,387.7,242.4,27426840,225.25,237.75,0.223333426303491,0.437730064830388,5753.90523496216,75.8545004265545,0.319051526504961
Ex_Medicaid_State,115360,0,0,102.8,227.4,124.6,17518240,136.5,151.857142857143,0.114524385370921,0.224466025810888,1513.04270767158,38.897849653568,0.256147645884267
PC_Medicare,115360,0,0,3.6,18.8,15.2,843776,6.9,7.31428571428572,0.0108292144081895,0.0212250929178749,13.5284846188235,3.67810883727269,0.502866442595876
PC_Medicaid,115360,0,0,-0.9,10.7,11.6,673208,6.15,5.83571428571429,0.00902319082969733,0.017685314608898,9.3923773363401,3.06469857185664,0.525162545972985
PC_Medicaid_Feds,115360,0,0,-7.2,21.8,29,740776,6.95,6.42142857142857,0.0194810967213286,0.0381826485714062,43.7806346151703,6.61669363165398,1.03040835198171
PC_Medicaid_State,115360,0,0,-9.9,21.8,31.7,618824,4.9,5.36428571428571,0.0203124420895273,0.0398120726479595,47.5969942279567,6.89905748837888,1.28610925216118
